id_pedido,id_cliente,data_compra,sku_produto,produto_nome,categoria,peso_gramas,quantidade,custo_unitario,valor_unitario_venda,cupom_desconto,percentual_desconto
PED-1000,185,2025-03-26 17:58:15,HW-003,Placa de Vídeo RTX 4060,Hardware,2484,3,2110.49,2711.53,,0.0
PED-1001,25,2025-03-26 19:38:08,HW-007,Placa-Mãe B550,Hardware,2347,3,538.74,1360.53,,0.0
PED-1002,153,2025-03-27 08:16:14,LIC-001,Licença Antivírus Kaspersky,Licenças,0,3,67.52,136.22,PROMO10,0.1
PED-1003,47,2025-03-27 11:05:46,AC-002,Teclado Mecânico RGB,Acessórios,606,1,99.76,198.46,,0.0
PED-1004,49,2025-03-27 13:21:17,HW-008,Gabinete Gamer RGB,Hardware,4172,1,202.61,531.12,OFF20,0.2
PED-1005,3,2025-03-27 18:18:34,AC-005,Hub USB-C 7 Portas,Acessórios,219,3,75.68,138.43,,0.0
PED-1006,68,2025-03-28 00:59:49,AC-001,Mouse Wireless Ergonômico,Acessórios,339,3,70.76,84.33,,0.0
PED-1007,34,2025-03-29 03:11:58,HW-002,Notebook Gamer i7,Hardware,2915,3,2932.88,3841.75,,0.0
PED-1008,99,2025-03-29 04:01:23,HW-003,Placa de Vídeo RTX 4060,Hardware,2260,1,2064.14,3020.14,OFF20,0.2
PED-1009,70,2025-03-29 04:45:37,LIC-003,Licença Cloud 1TB,Licenças,0,3,75.85,116.37,OFF20,0.2
PED-1010,62,2025-03-29 07:35:34,LIC-002,Licença VPN NordVPN,Licenças,0,3,74.74,182.61,,0.0
PED-1011,85,2025-03-30 01:48:56,AC-004,Webcam Full HD,Acessórios,264,2,47.12,150.98,OFF20,0.2
PED-1012,94,2025-03-30 06:10:01,AC-007,Cabo HDMI 2.1 3m,Acessórios,253,3,25.86,42.48,PROMO10,0.1
PED-1013,57,2025-03-31 00:52:36,AC-006,Mousepad XL Gamer,Acessórios,314,3,35.06,75.53,OFF20,0.2
PED-1014,131,2025-03-31 05:00:57,HW-002,Notebook Gamer i7,Hardware,2401,2,2801.89,3477.89,,0.0
PED-1015,185,2025-03-31 06:04:17,LIC-003,Licença Cloud 1TB,Licenças,0,1,39.91,190.84,,0.0
PED-1016,34,2025-03-31 19:36:27,HW-004,SSD NVMe 1TB,Hardware,2043,1,235.46,436.95,OFF20,0.2
PED-1017,37,2025-04-01 13:23:58,HW-003,Placa de Vídeo RTX 4060,Hardware,2443,2,2498.58,3442.5,,0.0
PED-1018,100,2025-04-01 22:42:02,HW-005,Processador Ryzen 7,Hardware,2006,3,1467.91,1790.32,,0.0
PED-1019,135,2025-04-02 20:38:49,SW-001,Windows 11 Pro,Software,0,1,405.6,679.12,PROMO10,0.1
PED-1020,35,2025-04-02 21:16:20,AC-004,Webcam Full HD,Acessórios,318,3,87.34,109.48,PROMO10,0.1
PED-1021,89,2025-04-02 22:27:58,AC-006,Mousepad XL Gamer,Acessórios,498,1,26.09,71.88,PROMO10,0.1
PED-1022,68,2025-04-03 09:03:59,LIC-004,Licença Backup Acronis,Licenças,0,3,187.54,286.26,,0.0
PED-1023,75,2025-04-03 11:36:55,HW-007,Placa-Mãe B550,Hardware,2414,3,499.15,769.09,,0.0
PED-1024,36,2025-04-03 15:45:54,HW-005,Processador Ryzen 7,Hardware,2027,3,1035.99,1868.65,OFF20,0.2
PED-1025,181,2025-04-04 09:22:23,LIC-004,Licença Backup Acronis,Licenças,0,3,79.56,200.99,,0.0
PED-1026,77,2025-04-04 18:53:16,LIC-001,Licença Antivírus Kaspersky,Licenças,0,2,52.75,106.41,,0.0
PED-1027,86,2025-04-06 02:06:09,AC-004,Webcam Full HD,Acessórios,223,1,75.96,161.31,PROMO10,0.1
PED-1028,200,2025-04-06 20:27:54,AC-003,Headset Gamer 7.1,Acessórios,391,1,75.44,149.65,,0.0
PED-1029,161,2025-04-07 03:44:13,AC-003,Headset Gamer 7.1,Acessórios,480,3,91.52,278.8,PROMO10,0.1
PED-1030,26,2025-04-08 01:09:25,LIC-002,Licença VPN NordVPN,Licenças,0,2,51.0,173.59,OFF20,0.2
PED-1031,10,2025-04-08 13:31:07,AC-005,Hub USB-C 7 Portas,Acessórios,262,3,63.2,90.07,,0.0
PED-1032,180,2025-04-08 13:55:21,LIC-002,Licença VPN NordVPN,Licenças,0,2,43.86,133.62,,0.0
PED-1033,156,2025-04-09 04:20:27,AC-007,Cabo HDMI 2.1 3m,Acessórios,217,3,24.83,113.56,PROMO10,0.1
PED-1034,191,2025-04-10 06:24:01,HW-002,Notebook Gamer i7,Hardware,2809,1,2135.87,3958.47,,0.0
PED-1035,187,2025-04-10 15:30:49,HW-006,Fonte 750W Modular,Hardware,3415,1,390.28,631.01,,0.0
PED-1036,182,2025-04-11 02:32:42,HW-002,Notebook Gamer i7,Hardware,2318,1,2617.62,4473.32,OFF20,0.2
PED-1037,100,2025-04-11 21:20:14,AC-002,Teclado Mecânico RGB,Acessórios,722,2,135.33,342.11,,0.0
PED-1038,76,2025-04-12 12:38:13,HW-001,Monitor 24pol IPS,Hardware,4326,3,659.75,1252.28,,0.0
PED-1039,30,2025-04-12 12:57:44,HW-001,Monitor 24pol IPS,Hardware,4085,3,780.74,1760.64,PROMO10,0.1
PED-1040,66,2025-04-13 03:26:10,LIC-004,Licença Backup Acronis,Licenças,0,2,142.01,213.07,,0.0
PED-1041,78,2025-04-13 12:07:04,LIC-001,Licença Antivírus Kaspersky,Licenças,0,3,46.51,55.13,,0.0
PED-1042,120,2025-04-13 21:05:52,SW-003,Adobe Creative Cloud,Software,0,3,253.46,452.71,PROMO10,0.1
PED-1043,120,2025-04-13 22:46:07,HW-004,SSD NVMe 1TB,Hardware,2096,3,273.03,497.09,,0.0
PED-1044,51,2025-04-14 00:17:53,AC-005,Hub USB-C 7 Portas,Acessórios,230,3,54.48,108.78,,0.0
PED-1045,105,2025-04-14 10:29:40,AC-004,Webcam Full HD,Acessórios,213,2,96.09,158.42,,0.0
PED-1046,151,2025-04-15 14:21:28,HW-006,Fonte 750W Modular,Hardware,3481,2,558.11,703.94,OFF20,0.2
PED-1047,143,2025-04-15 14:55:16,LIC-001,Licença Antivírus Kaspersky,Licenças,0,2,23.93,107.71,OFF20,0.2
PED-1048,6,2025-04-15 16:10:10,AC-003,Headset Gamer 7.1,Acessórios,389,2,77.48,120.16,PROMO10,0.1
PED-1049,124,2025-04-15 21:47:37,SW-002,Microsoft Office 365,Software,0,1,274.94,354.4,PROMO10,0.1
PED-1050,13,2025-04-16 06:59:12,AC-003,Headset Gamer 7.1,Acessórios,463,2,132.15,277.7,OFF20,0.2
PED-1051,188,2025-04-17 03:43:24,AC-006,Mousepad XL Gamer,Acessórios,346,3,44.03,95.23,,0.0
PED-1052,119,2025-04-17 22:56:21,AC-002,Teclado Mecânico RGB,Acessórios,767,3,141.34,290.08,,0.0
PED-1053,93,2025-04-18 00:55:40,HW-006,Fonte 750W Modular,Hardware,2719,1,307.92,816.06,OFF20,0.2
PED-1054,150,2025-04-18 03:57:25,AC-005,Hub USB-C 7 Portas,Acessórios,292,1,51.88,113.27,,0.0
PED-1055,92,2025-04-18 04:41:05,AC-005,Hub USB-C 7 Portas,Acessórios,209,3,41.12,65.94,,0.0
PED-1056,129,2025-04-19 10:50:01,AC-002,Teclado Mecânico RGB,Acessórios,661,2,169.16,271.37,,0.0
PED-1057,40,2025-04-19 17:16:28,AC-003,Headset Gamer 7.1,Acessórios,367,3,105.16,126.41,,0.0
PED-1058,114,2025-04-21 06:30:34,AC-002,Teclado Mecânico RGB,Acessórios,636,3,110.61,341.15,,0.0
PED-1059,75,2025-04-21 15:26:52,AC-005,Hub USB-C 7 Portas,Acessórios,218,1,74.54,139.06,,0.0
PED-1060,167,2025-04-22 22:24:29,LIC-002,Licença VPN NordVPN,Licenças,0,1,34.88,160.83,,0.0
PED-1061,148,2025-04-23 07:14:12,LIC-003,Licença Cloud 1TB,Licenças,0,3,33.83,213.31,,0.0
PED-1062,77,2025-04-24 17:10:50,HW-008,Gabinete Gamer RGB,Hardware,4810,1,202.44,724.87,OFF20,0.2
PED-1063,4,2025-04-25 08:47:45,HW-008,Gabinete Gamer RGB,Hardware,4784,1,313.65,832.03,,0.0
