id_pedido,transportadora,valor_frete,cidade_destino,data_postagem,data_previsao_entrega,data_entrega_real,status_pedido,nota_review,comentario_cliente
PED-1000,Loggi,117.97,Recife,2025-03-28,2025-04-05,2025-04-02,Entregue,5,Excelente atendimento e entrega.
PED-1001,FedEx,149.9,Joinville,2025-03-27,2025-04-02,2025-03-29,Entregue,5,"Muito bom, sem reclamações."
PED-1002,Loggi,28.56,São Paulo,2025-03-28,2025-04-04,2025-04-02,Entregue,5,Superou minhas expectativas!
PED-1003,FedEx,25.34,Fortaleza,2025-03-29,2025-04-08,,Em Trânsito,3,"Chegou com pequeno atraso, mas o produto é bom."
PED-1004,Jadlog,129.83,Curitiba,2025-03-28,2025-04-04,,Cancelado,2,"Suporte ruim, difícil contato."
PED-1005,FedEx,46.87,Florianópolis,2025-03-29,2025-04-06,2025-04-06,Entregue,5,Entrega no prazo e produto conforme descrito.
PED-1006,Loggi,50.04,São Paulo,2025-03-30,2025-04-09,2025-04-09,Entregue,4,"Muito bom, sem reclamações."
PED-1007,Correios,78.75,Curitiba,2025-03-31,2025-04-09,,Em Trânsito,4,"Produto de qualidade, entrega pontual."
PED-1008,FedEx,87.82,Joinville,2025-03-31,2025-04-06,2025-04-06,Entregue,4,"Chegou antes do prazo, excelente!"
PED-1009,Loggi,18.25,Belém,2025-03-30,2025-04-06,2025-04-04,Entregue,5,"Frete rápido, adorei!"
PED-1010,Jadlog,15.61,São Paulo,2025-03-30,2025-04-07,2025-04-05,Entregue,4,Entrega no prazo e produto conforme descrito.
PED-1011,Loggi,21.0,São Paulo,2025-03-31,2025-04-09,2025-04-04,Entregue,5,"Muito bom, sem reclamações."
PED-1012,Correios,20.63,São Paulo,2025-03-31,2025-04-06,2025-04-04,Entregue,4,"Produto de qualidade, entrega pontual."
PED-1013,Loggi,51.72,Belo Horizonte,2025-04-02,2025-04-11,2025-04-10,Entregue,4,"Chegou antes do prazo, excelente!"
PED-1014,Correios,122.24,Rio de Janeiro,2025-04-01,2025-04-10,2025-04-07,Entregue,5,"Muito bom, sem reclamações."
PED-1015,Correios,22.39,Salvador,2025-04-01,2025-04-11,2025-04-15,Entregue,1,Nunca mais compro aqui.
PED-1016,Correios,120.75,São Paulo,2025-04-02,2025-04-11,2025-04-07,Entregue,5,Superou minhas expectativas!
PED-1017,FedEx,101.34,Joinville,2025-04-03,2025-04-11,2025-04-12,Entregue,2,Frete caro e entrega lenta.
PED-1018,FedEx,100.97,Rio de Janeiro,2025-04-03,2025-04-13,2025-04-13,Entregue,4,Parabéns pela agilidade!
PED-1019,Correios,19.21,São Paulo,2025-04-04,2025-04-11,,Em Trânsito,4,"Qualidade impecável, voltarei a comprar."
PED-1020,Correios,39.97,Curitiba,2025-04-03,2025-04-11,2025-04-07,Entregue,5,"Entrega rápida, muito satisfeito!"
PED-1021,Loggi,58.88,Curitiba,2025-04-03,2025-04-13,,Em Trânsito,3,Entrega demorou mais que o previsto.
PED-1022,Correios,24.46,São Paulo,2025-04-05,2025-04-14,2025-04-07,Entregue,5,"Muito bom, sem reclamações."
PED-1023,Correios,76.47,Manaus,2025-04-05,2025-04-13,2025-04-12,Entregue,4,"Produto original, vendedor confiável."
PED-1024,Jadlog,139.22,Salvador,2025-04-04,2025-04-14,2025-04-15,Entregue,2,"Não recomendo, péssima experiência."
PED-1025,Jadlog,15.4,Recife,2025-04-06,2025-04-11,,Cancelado,1,Muito atraso na entrega.
PED-1026,Loggi,22.21,Goiânia,2025-04-05,2025-04-15,2025-04-13,Entregue,5,"Embalagem perfeita, produto intacto."
PED-1027,FedEx,23.61,Joinville,2025-04-07,2025-04-12,,Em Trânsito,4,"Produto original, vendedor confiável."
PED-1028,FedEx,54.13,Goiânia,2025-04-08,2025-04-13,2025-04-10,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1029,Correios,58.89,Curitiba,2025-04-08,2025-04-16,2025-04-21,Entregue,1,"Veio errado, tive que devolver."
PED-1030,FedEx,25.35,Belo Horizonte,2025-04-10,2025-04-15,,Em Trânsito,2,"Veio errado, tive que devolver."
PED-1031,Loggi,45.51,Rio de Janeiro,2025-04-09,2025-04-17,2025-04-15,Entregue,5,"Entrega rápida, muito satisfeito!"
PED-1032,FedEx,25.49,Belo Horizonte,2025-04-09,2025-04-14,2025-04-11,Entregue,4,"Entrega rápida, muito satisfeito!"
PED-1033,Loggi,51.62,Curitiba,2025-04-10,2025-04-15,2025-04-13,Entregue,5,"Frete rápido, adorei!"
PED-1034,Correios,122.53,Rio de Janeiro,2025-04-11,2025-04-21,,Em Trânsito,3,"Produto bom, mas o frete foi caro."
PED-1035,Jadlog,109.09,Campinas,2025-04-12,2025-04-22,2025-04-21,Entregue,5,Entrega no prazo e produto conforme descrito.
PED-1036,FedEx,133.28,Florianópolis,2025-04-13,2025-04-20,2025-04-18,Entregue,4,Entrega no prazo e produto conforme descrito.
PED-1037,FedEx,59.42,São Paulo,2025-04-12,2025-04-18,,Em Trânsito,2,Cancelei porque demorou demais.
PED-1038,FedEx,73.59,Porto Alegre,2025-04-13,2025-04-22,2025-04-21,Entregue,4,"Chegou antes do prazo, excelente!"
PED-1039,Loggi,140.88,São Paulo,2025-04-13,2025-04-22,2025-04-21,Entregue,5,"Frete rápido, adorei!"
PED-1040,Correios,29.53,Curitiba,2025-04-15,2025-04-24,2025-04-23,Entregue,4,Entrega no prazo e produto conforme descrito.
PED-1041,Loggi,17.52,Porto Alegre,2025-04-14,2025-04-24,,Extraviado,1,"Embalagem danificada, produto riscado."
PED-1042,FedEx,22.51,Campinas,2025-04-15,2025-04-20,2025-04-19,Entregue,4,"Tudo certo, nota 10!"
PED-1043,Loggi,91.01,Belém,2025-04-14,2025-04-23,2025-04-26,Entregue,1,Decepcionante do início ao fim.
PED-1044,Correios,42.36,Belo Horizonte,2025-04-15,2025-04-20,2025-04-21,Entregue,1,Pior experiência de compra online.
PED-1045,Jadlog,32.68,Rio de Janeiro,2025-04-16,2025-04-24,2025-04-22,Entregue,4,"Produto top, recomendo!"
PED-1046,Correios,58.9,Rio de Janeiro,2025-04-16,2025-04-26,,Em Trânsito,3,Entrega demorou mais que o previsto.
PED-1047,Loggi,24.61,Campinas,2025-04-16,2025-04-21,2025-04-19,Entregue,4,Excelente atendimento e entrega.
PED-1048,FedEx,26.55,Belo Horizonte,2025-04-17,2025-04-22,,Cancelado,1,"Suporte ruim, difícil contato."
PED-1049,Jadlog,25.9,Curitiba,2025-04-16,2025-04-24,,Cancelado,2,Cancelei porque demorou demais.
PED-1050,Jadlog,31.85,Campinas,2025-04-17,2025-04-23,,Extraviado,2,Atendimento ao cliente inexistente.
PED-1051,FedEx,58.78,Belo Horizonte,2025-04-19,2025-04-25,2025-04-29,Entregue,1,"Embalagem danificada, produto riscado."
PED-1052,Loggi,22.6,São Paulo,2025-04-19,2025-04-29,2025-04-28,Entregue,5,"Muito bom, sem reclamações."
PED-1053,Jadlog,128.37,Curitiba,2025-04-19,2025-04-27,,Extraviado,1,Nunca mais compro aqui.
PED-1054,Loggi,38.6,Rio de Janeiro,2025-04-19,2025-04-27,,Cancelado,2,Atrasou e a caixa veio amassada.
PED-1055,Correios,22.98,Belo Horizonte,2025-04-19,2025-04-29,,Em Trânsito,4,"Chegou antes do prazo, excelente!"
PED-1056,FedEx,29.31,Joinville,2025-04-20,2025-04-29,2025-04-22,Entregue,4,"Produto de qualidade, entrega pontual."
PED-1057,Correios,26.08,Curitiba,2025-04-20,2025-04-28,2025-04-22,Entregue,4,"Entrega rápida, muito satisfeito!"
PED-1058,Loggi,57.88,Curitiba,2025-04-22,2025-05-01,2025-04-29,Entregue,5,Excelente atendimento e entrega.
PED-1059,Jadlog,34.24,Curitiba,2025-04-23,2025-04-29,,Em Trânsito,2,Pior experiência de compra online.
PED-1060,FedEx,26.15,Salvador,2025-04-23,2025-04-28,2025-04-25,Entregue,4,"Produto top, recomendo!"
PED-1061,Correios,21.53,Recife,2025-04-25,2025-05-01,2025-05-01,Entregue,4,"Muito bom, sem reclamações."
PED-1062,Loggi,104.41,Curitiba,2025-04-26,2025-05-03,2025-05-03,Entregue,5,Parabéns pela agilidade!
PED-1063,Loggi,60.08,Florianópolis,2025-04-27,2025-05-07,2025-05-04,Entregue,5,"Produto de qualidade, entrega pontual."
PED-1064,Loggi,48.82,São Paulo,2025-04-27,2025-05-02,2025-04-29,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1065,Loggi,18.17,Recife,2025-04-28,2025-05-08,2025-05-06,Entregue,5,"Produto top, recomendo!"
PED-1066,Loggi,17.82,São Paulo,2025-04-27,2025-05-03,2025-05-01,Entregue,5,Parabéns pela agilidade!
PED-1067,Jadlog,85.96,Fortaleza,2025-04-27,2025-05-04,2025-05-01,Entregue,4,"Qualidade impecável, voltarei a comprar."
PED-1068,Correios,62.21,Goiânia,2025-04-28,2025-05-08,2025-05-06,Entregue,4,Superou minhas expectativas!
PED-1069,Loggi,28.56,São Paulo,2025-04-27,2025-05-03,2025-05-08,Entregue,1,"Não recomendo, péssima experiência."
PED-1070,Correios,23.08,Belém,2025-04-28,2025-05-04,2025-05-02,Entregue,4,Entrega no prazo e produto conforme descrito.
PED-1071,Jadlog,125.87,Belém,2025-04-28,2025-05-06,2025-05-05,Entregue,4,"Produto de qualidade, entrega pontual."
PED-1072,Correios,76.65,Fortaleza,2025-04-29,2025-05-07,2025-05-06,Entregue,5,"Tudo certo, nota 10!"
PED-1073,Loggi,23.41,Porto Alegre,2025-04-29,2025-05-07,2025-05-02,Entregue,4,"Tudo certo, nota 10!"
PED-1074,Correios,91.25,Belo Horizonte,2025-04-29,2025-05-09,2025-05-03,Entregue,5,"Entrega rápida, muito satisfeito!"
PED-1075,Jadlog,16.42,Campinas,2025-04-29,2025-05-05,2025-05-01,Entregue,5,"Chegou antes do prazo, excelente!"
PED-1076,FedEx,86.18,Recife,2025-04-30,2025-05-06,2025-05-05,Entregue,4,"Produto top, recomendo!"
PED-1077,FedEx,92.63,Porto Alegre,2025-04-30,2025-05-10,2025-05-09,Entregue,4,Ótimo custo-benefício!
PED-1078,Correios,43.13,Rio de Janeiro,2025-05-01,2025-05-06,2025-05-06,Entregue,5,Superou minhas expectativas!
PED-1079,FedEx,67.98,São Paulo,2025-05-02,2025-05-07,2025-05-07,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1080,Loggi,24.59,Rio de Janeiro,2025-05-02,2025-05-09,2025-05-06,Entregue,5,Entrega no prazo e produto conforme descrito.
PED-1081,Correios,19.33,Rio de Janeiro,2025-05-02,2025-05-12,2025-05-12,Entregue,4,Ótimo custo-benefício!
PED-1082,FedEx,17.18,Porto Alegre,2025-05-03,2025-05-12,,Extraviado,1,"Veio errado, tive que devolver."
PED-1083,Jadlog,21.96,São Paulo,2025-05-04,2025-05-14,2025-05-06,Entregue,4,"Produto de qualidade, entrega pontual."
PED-1084,Correios,50.5,São Paulo,2025-05-04,2025-05-13,2025-05-13,Entregue,5,"Qualidade impecável, voltarei a comprar."
PED-1085,Correios,92.94,Belo Horizonte,2025-05-04,2025-05-10,2025-05-14,Entregue,1,Atendimento ao cliente inexistente.
PED-1086,Loggi,22.03,Curitiba,2025-05-04,2025-05-11,2025-05-06,Entregue,4,Superou minhas expectativas!
PED-1087,Jadlog,29.98,Rio de Janeiro,2025-05-04,2025-05-13,2025-05-12,Entregue,5,"Chegou antes do prazo, excelente!"
PED-1088,Jadlog,25.58,Curitiba,2025-05-04,2025-05-10,2025-05-08,Entregue,5,Excelente atendimento e entrega.
PED-1089,FedEx,53.9,Joinville,2025-05-06,2025-05-12,2025-05-11,Entregue,4,"Qualidade impecável, voltarei a comprar."
PED-1090,Correios,23.88,São Paulo,2025-05-06,2025-05-15,2025-05-20,Entregue,3,"Chegou com pequeno atraso, mas o produto é bom."
PED-1091,Correios,66.84,Porto Alegre,2025-05-06,2025-05-13,2025-05-10,Entregue,5,"Muito bom, sem reclamações."
PED-1092,Correios,49.29,Curitiba,2025-05-08,2025-05-16,,Cancelado,1,Atrasou e a caixa veio amassada.
PED-1093,Loggi,53.71,Salvador,2025-05-07,2025-05-17,2025-05-16,Entregue,5,"Produto original, vendedor confiável."
PED-1094,Jadlog,22.63,Curitiba,2025-05-08,2025-05-18,2025-05-16,Entregue,5,"Chegou antes do prazo, excelente!"
PED-1095,Correios,42.88,Salvador,2025-05-08,2025-05-15,,Cancelado,3,Esperava mais pela qualidade do produto.
PED-1096,FedEx,48.53,Curitiba,2025-05-09,2025-05-17,,Extraviado,1,"Não recomendo, péssima experiência."
PED-1097,FedEx,42.59,Belém,2025-05-09,2025-05-16,2025-05-21,Entregue,1,Decepcionante do início ao fim.
PED-1098,Jadlog,27.01,Curitiba,2025-05-08,2025-05-14,2025-05-12,Entregue,4,Excelente atendimento e entrega.
PED-1099,Loggi,21.4,Joinville,2025-05-10,2025-05-15,2025-05-13,Entregue,4,"Tudo certo, nota 10!"
PED-1100,Jadlog,33.98,Manaus,2025-05-09,2025-05-19,2025-05-20,Entregue,3,Esperava mais pela qualidade do produto.
